

2025-09-14 03:02:14,245 | INFO | tradingbot.live.runner_paper | Connecting to Bybit spot WS in paper mode for ETHUSDT
2025-09-14 03:02:14,313 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [89]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:37783 (Press CTRL+C to quit)
2025-09-14 03:02:14,415 | INFO | tradingbot.live.runner_paper | metrics server listening on port 37783
2025-09-14 03:02:14,415 | INFO | tradingbot.live.runner_paper | Loading 140 historical bars for warm-up
2025-09-14 03:02:19,662 | INFO | tradingbot.live.runner_paper | Pre-loaded 140/140 bars
2025-09-14 03:59:01,058 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 03:59:01,060 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 03:59:01,060 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 03:59:01,060 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:02:00,559 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:02:00,560 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:02:00,560 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:02:00,561 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:03:02,023 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:03:02,023 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:03:02,024 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:03:02,024 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:06:01,545 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:06:01,545 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:06:01,545 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:06:01,545 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:17:00,581 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:17:00,581 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:17:00,581 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:17:00,581 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:18:00,582 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:18:00,582 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:18:00,583 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:18:00,583 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:19:00,558 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 04:19:00,558 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 04:19:00,558 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 04:19:00,558 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 04:26:01,130 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=1.0914485090000001, price=4654.250052157321, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=1.0914485090000001) via paper reason=None
2025-09-14 04:26:01,131 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-1 tid=trade-1 reason=None
2025-09-14 04:26:01,131 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4654.250052157321, "qty": 1.0914485090000001, "fee": 0.0, "pnl": 0.0}
2025-09-14 04:26:01,131 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.0, "locked": 5082.362725613771}
2025-09-14 05:08:01,051 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:08:01,051 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 05:24:01,473 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 05:24:01,473 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 06:05:01,226 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 06:05:01,226 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 06:10:01,075 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
2025-09-14 06:10:01,075 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "below_min_qty"}
2025-09-14 06:11:01,671 | INFO | tradingbot.live.runner_paper | Skipping order: qty 0.00000000 below min threshold
