

2025-09-14 03:02:05,524 | INFO | tradingbot.live.runner_paper | Connecting to Binance spot WS in paper mode for ETHUSDT
2025-09-14 03:02:09,911 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [40]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:33041 (Press CTRL+C to quit)
2025-09-14 03:02:10,014 | INFO | tradingbot.live.runner_paper | metrics server listening on port 33041
2025-09-14 03:02:10,014 | INFO | tradingbot.live.runner_paper | Loading 140 historical bars for warm-up
2025-09-14 03:02:13,576 | INFO | tradingbot.live.runner_paper | Pre-loaded 140/140 bars
2025-09-14 03:17:00,961 | WARNING | tradingbot.risk.service | short_not_allowed: ETHUSDT cur_qty=0.00000000
2025-09-14 03:17:00,965 | WARNING | tradingbot.live.runner_paper | orden bloqueada: short_not_allowed
2025-09-14 03:17:00,971 | INFO | tradingbot.live.runner_paper | METRICS {"event": "risk_check_reject", "reason": "short_not_allowed"}
2025-09-14 03:17:00,972 | INFO | tradingbot.live.runner_paper | METRICS {"event": "skip", "reason": "short_not_allowed"}
2025-09-14 03:39:02,734 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.186921732, price=4676.09, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.186921732) via paper reason=None
2025-09-14 03:39:02,735 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-1 tid=trade-1 reason=None
2025-09-14 03:39:02,736 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4676.09, "qty": 0.186921732, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:39:02,736 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.186921732, "locked": 0.0}
2025-09-14 03:39:02,736 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4676.08, "qty": 0.186921732, "fee": 0.65554572942792, "pnl": 0.0, "slippage_bps": -0.02138538822011184, "maker": false}
2025-09-14 03:40:01,113 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.16947985100000001, price=4676.08, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.16947985100000001) via paper reason=None
2025-09-14 03:40:01,114 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-2 tid=trade-2 reason=None
2025-09-14 03:40:01,115 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4676.08, "qty": 0.16947985100000001, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:40:01,115 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.356401583, "locked": 0.0}
2025-09-14 03:40:01,115 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4676.08, "qty": 0.16947985100000001, "fee": 0.5943760062480601, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 04:06:00,561 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.15677475500000002, price=4659.49, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.15677475500000002) via paper reason=None
2025-09-14 04:06:00,562 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-3 tid=trade-3 reason=None
2025-09-14 04:06:00,562 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4659.49, "qty": 0.15677475500000002, "fee": 0.0, "pnl": -2.600893185450023}
