

2025-09-14 03:02:03,891 | INFO | tradingbot.live.runner_paper | Connecting to Binance spot WS in paper mode for ETHUSDT
2025-09-14 03:02:09,187 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [13]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:44749 (Press CTRL+C to quit)
2025-09-14 03:02:09,290 | INFO | tradingbot.live.runner_paper | metrics server listening on port 44749
2025-09-14 03:02:09,291 | INFO | tradingbot.live.runner_paper | Loading 140 historical bars for warm-up
2025-09-14 03:02:12,518 | INFO | tradingbot.live.runner_paper | Pre-loaded 140/140 bars
2025-09-14 03:03:01,482 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.08919041000000001, price=4680.72, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.08919041000000001) via paper reason=None
2025-09-14 03:03:01,483 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-1 tid=trade-1 reason=None
2025-09-14 03:03:01,484 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4680.72, "qty": 0.08919041000000001, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:03:01,484 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.0, "locked": 417.47622779930003}
2025-09-14 03:06:00,618 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.864796491, price=4672.57, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.864796491) via paper reason=None
2025-09-14 03:06:00,621 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-2 tid=trade-3 reason=None
2025-09-14 03:06:00,622 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4672.57, "qty": 0.864796491, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:06:00,623 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.08919041000000001, "locked": 4040.83078791678}
2025-09-14 03:07:00,791 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.170871655, price=4674.86, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.170871655) via paper reason=None
2025-09-14 03:07:00,792 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-3 tid=trade-4 reason=None
2025-09-14 03:07:00,793 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4674.86, "qty": 0.170871655, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:07:00,793 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.260062065, "locked": 0.0}
2025-09-14 03:07:00,794 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4674.85, "qty": 0.170871655, "fee": 0.5990995172825626, "pnl": 0.0, "slippage_bps": -0.021391014916615225, "maker": false}
2025-09-14 03:08:00,520 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.06976364900000001, price=4675.73, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.06976364900000001) via paper reason=None
2025-09-14 03:08:00,521 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-4 tid=trade-5 reason=None
